metric,dataset,Age,Sex,ChestPainType,RestingBP,Cholesterol,FastingBS,RestingECG,MaxHR,ExerciseAngina,Oldpeak,ST_Slope,HeartDisease
kld,gmm_1000_uci_factorized,0.22610789491124103,0.0027380472378806843,0.04478072305362826,1.2882502758544059,1.963481677307895,5.198932615005543e-05,0.1332721410439755,0.7138726649241447,0.007414809770727067,1.2526627557199426,0.017103276121379234,0.014206304608406717
kld,gmm_1000_un_processed_uci,0.1272906738686978,0.004918295753934439,0.03666599965676619,1.401627802609452,2.7518475688557733,0.0005213740225149307,0.006603619395393293,1.126765651222878,0.004377299299489504,1.7017758444885835,0.0008728457515624257,0.01671141096220291
kld,gmm_border_uci_factorized,0.46261766310716446,0.0015232219502249525,0.10426847090039545,1.9263036068893307,3.2948523206286,0.0049235096855366894,0.11616353489042905,1.1919573714515406,0.00011217506275481171,1.5521786775019497,0.01065103202415987,4.305192420198372e-05
kld,gmm_uci_factorized,0.2253264666975663,0.006038333365542173,0.0428270746132342,1.7277741623140825,2.8667875148134336,0.001197120604206632,0.1144036523015268,0.7989914910278307,0.011266641332460359,1.524157278787719,0.04076584441102937,0.02349816041298397
kld,gmm_un_processed_uci,0.09818461947406507,0.008472338492514768,0.06285920310977026,1.4318409730876043,3.9363367748065823,0.0027130018030283934,0.008736094167395507,0.8244503413501886,0.01755912750037214,1.430646202386218,0.0003693674855187864,0.018282239755670115
kld,uci,0.17053258951058786,0.006488388728045247,0.01554495040224499,0.7994495575312569,4.028135632379164,0.0001348659409307158,0.006457042347144941,1.2197471632618326,0.007443802533119694,0.5635853025588056,0.02031379655602191,0.01708543962764933
ks_test,copula_1000_border_uci_factorized,0.656958202086464,0.7705497393291075,0.05424753317749481,0.0018877120490163682,2.2360492522851776e-103,1.0,0.18873210343530664,0.03874098686684698,0.24586892090659182,6.769102745424454e-09,0.02657389109618548,1.6240073645325163e-26
ks_test,copula_1000_uci_factorized,0.5581503637360278,0.5991635343031304,0.22161191057684876,0.005438812707388125,8.946932067006136e-08,0.9999999901090136,3.48872030617863e-05,0.29523307831851336,0.0061312841927025005,1.007629043207513e-09,0.004373167998525991,0.04446790722462206
ks_test,copula_1000_un_processed_uci,0.5581503637360278,0.5991635343031304,0.22161191057684876,0.005438812707388125,8.946932067006136e-08,0.9999999901090136,3.48872030617863e-05,0.29523307831851336,0.0061312841927025005,1.007629043207513e-09,0.004373167998525991,0.04446790722462206
ks_test,copula_border_uci_factorized,0.6762781550509577,0.7304584139813995,0.017166563102089485,0.004828204727606036,1.2492070220539308e-90,0.9999999929923841,0.5611766889322332,0.045467481155393695,0.11678757493755056,6.595073307952875e-08,0.03511465453302811,2.2403743426458134e-24
ks_test,copula_uci_factorized,0.3108932385747715,0.48071485695780364,0.1405717987986498,0.006908716865275498,5.542773716922183e-07,0.9991739032247225,0.00018272258333460741,0.48358046216139816,0.03783737733357312,7.928952941647266e-09,0.008064440380411255,0.13486875635749498
ks_test,copula_un_processed_uci,0.3108932385747715,0.48071485695780364,0.1405717987986498,0.006908716865275498,5.542773716922183e-07,0.9991739032247225,0.00018272258333460741,0.48358046216139816,0.03783737733357312,7.928952941647266e-09,0.008064440380411255,0.13486875635749498
ks_test,ctgan_1000_border_uci_factorized,3.4055073355411465e-05,1.0,0.9967380113397557,3.996497707746562e-34,1.2880104846377802e-21,3.3444301344327144e-05,0.9997892067731027,7.448771218252362e-06,1.0,4.6035716772714194e-48,0.9999999999929892,0.7255273271335979
ks_test,ctgan_1000_uci_factorized,6.235265481472885e-07,0.971637322315427,0.9879548292903734,1.607204794909257e-10,7.11698672136721e-17,0.00011258243983247213,0.34954968781107454,1.0906971693641399e-11,0.37245393217549677,4.152169842976984e-08,0.7900526062235285,4.486692027985864e-05
ks_test,ctgan_1000_un_processed_uci,0.656958202086464,0.9999780229871528,0.7906792774932686,1.6535557313068653e-10,0.00608731251230825,0.02380673851472108,0.9999912222356581,1.3044638160217135e-29,0.5163661077839076,2.0990315694365615e-11,0.28773715311768233,4.649749429028289e-05
ks_test,ctgan_border_uci_factorized,2.4701845221550658e-17,1.0,0.9992758476162581,5.8493833931649545e-18,5.200906870146225e-05,0.0021953146890090268,0.9999999999860512,0.0005220261148568038,0.5766918653050848,2.9214345913762467e-22,0.9175974142494688,0.8929350966585843
ks_test,ctgan_uci_factorized,0.07703813475203151,1.0,0.223728665080713,6.795064243840411e-09,3.4915940372807363e-26,0.3485954073378383,0.8304182906209528,1.0222456958892479e-08,0.5766918653050848,9.216488117683713e-27,0.0005280540259384414,6.781871657666909e-11
ks_test,ctgan_un_processed_uci,0.35036530121671544,0.9999999439298201,0.09181530810774856,0.0007404711852285802,2.0776656090281597e-06,0.01312382469388088,0.8612600986837571,0.00036521736882083025,0.9980565828287615,6.318290143809393e-06,0.33369768798610416,2.4604428019019228e-05
ks_test,ds_1000_uci_factorized,2.1393576199896135e-06,3.742246995361323e-08,4.998075628570721e-13,1.1766407644644253e-47,7.69092482746341e-37,7.041212828267639e-12,3.6718863874401653e-13,3.039231715352966e-09,0.0273183006704845,1.6727886081601995e-22,1.0102437280677792e-21,0.9933553319490444
ks_test,ds_uci_factorized,4.837824170578997e-07,5.3617132789478766e-05,2.5078410141847037e-13,3.905840327443163e-50,5.50134289687277e-39,6.521773328956698e-12,1.5047856044447712e-11,7.455041497404275e-08,0.020061135078650167,2.960463366717384e-22,4.2429112620024664e-14,0.5191360912717266
ks_test,gmm_1000_border_uci_factorized,0.4206961028318021,0.8675376322031807,0.0004863021644427836,0.0003391261628334759,0.09730683274237316,0.9973063149547031,0.0003421988161419361,0.050743052368744386,1.0,1.4136950850905339e-08,0.9999996609506289,1.0
ks_test,gmm_1000_uci_factorized,0.9566465687086001,0.9820491305228966,0.05770085828411372,0.0019239530205321094,0.033421388794893495,1.0,0.0023267993028790617,0.013878921920556597,0.4055248804455008,5.477597842550753e-05,0.07614750132083628,0.08922237697708259
ks_test,gmm_1000_un_processed_uci,0.11089538249464785,0.8476612618465459,0.1611294101190289,0.00043310361204190354,0.11517848857388614,0.9999999999753677,0.916235898589095,0.00862363320592053,0.7363901474176231,1.6956112288137298e-08,0.9999836335673492,0.05222849676174975
ks_test,gmm_border_uci_factorized,0.29120886428181053,0.9998727960965414,0.00013757778389373587,0.00014221295885674592,0.0049726986914029065,0.9047522303303938,0.024593012695885916,0.03400028657719143,1.0,1.6338966710315135e-06,0.9977783784728662,1.0
ks_test,gmm_uci_factorized,0.877804728674481,0.8095608099564094,0.025859423788124915,0.0005140561576782164,0.19300991929124356,0.9999857888354432,0.015770939547032042,0.023252483906871624,0.22949726174945556,4.837824170578997e-07,0.0012465944361181047,0.02117968474452892
ks_test,gmm_un_processed_uci,0.6302583529565372,0.632630743266685,0.005536542823790965,7.966422386650647e-05,0.37131587580429126,0.9851904827405529,0.7641143334848005,0.023847374417440077,0.06806739243690567,4.698465695168557e-10,0.9999999999999953,0.056784915860384706
ks_test,uci,0.9549088922341193,0.7761010482136153,0.4075382297597825,0.12767019026629636,0.46409025822434635,1.0,0.8304182906209528,0.2614908822595867,0.47270236366052804,0.1756256824424135,0.03968572025213791,0.07130030983293795
